+----------------------------------------------------------+----------------------------------------------------------------+------------+------------+---------+------+------+--------+--------+------------+
|                         Instance                         |                             Module                             | Total LUTs | Logic LUTs | LUTRAMs | SRLs |  FFs | RAMB36 | RAMB18 | DSP Blocks |
+----------------------------------------------------------+----------------------------------------------------------------+------------+------------+---------+------+------+--------+--------+------------+
| network_wrapper                                          |                                                          (top) |       2771 |       2442 |     128 |  201 | 2100 |     41 |     17 |         11 |
|   (network_wrapper)                                      |                                                          (top) |          0 |          0 |       0 |    0 |    0 |      0 |      0 |          0 |
|   network_i                                              |                                                        network |       2771 |       2442 |     128 |  201 | 2100 |     41 |     17 |         11 |
|     FIFO_0_empty_negate                                  |                                  network_FIFO_0_empty_negate_0 |          0 |          0 |       0 |    0 |    0 |      0 |      0 |          0 |
|     FIFO_0_full_negate                                   |                                   network_FIFO_0_full_negate_0 |          1 |          1 |       0 |    0 |    0 |      0 |      0 |          0 |
|     FIFO_10_empty_negate                                 |                                 network_FIFO_10_empty_negate_0 |          0 |          0 |       0 |    0 |    0 |      0 |      0 |          0 |
|     FIFO_10_full_negate                                  |                                  network_FIFO_10_full_negate_0 |          0 |          0 |       0 |    0 |    0 |      0 |      0 |          0 |
|     FIFO_11_empty_negate                                 |                                 network_FIFO_11_empty_negate_0 |          1 |          1 |       0 |    0 |    0 |      0 |      0 |          0 |
|     FIFO_11_full_negate                                  |                                  network_FIFO_11_full_negate_0 |          0 |          0 |       0 |    0 |    0 |      0 |      0 |          0 |
|     FIFO_1_empty_negate                                  |                                  network_FIFO_1_empty_negate_0 |          0 |          0 |       0 |    0 |    0 |      0 |      0 |          0 |
|     FIFO_1_full_negate                                   |                                   network_FIFO_1_full_negate_0 |          0 |          0 |       0 |    0 |    0 |      0 |      0 |          0 |
|     FIFO_2_empty_negate                                  |                                  network_FIFO_2_empty_negate_0 |          0 |          0 |       0 |    0 |    0 |      0 |      0 |          0 |
|     FIFO_2_full_negate                                   |                                   network_FIFO_2_full_negate_0 |          0 |          0 |       0 |    0 |    0 |      0 |      0 |          0 |
|     FIFO_3_empty_negate                                  |                                  network_FIFO_3_empty_negate_0 |          0 |          0 |       0 |    0 |    0 |      0 |      0 |          0 |
|     FIFO_3_full_negate                                   |                                   network_FIFO_3_full_negate_0 |          0 |          0 |       0 |    0 |    0 |      0 |      0 |          0 |
|     FIFO_4_empty_negate                                  |                                  network_FIFO_4_empty_negate_0 |          0 |          0 |       0 |    0 |    0 |      0 |      0 |          0 |
|     FIFO_4_full_negate                                   |                                   network_FIFO_4_full_negate_0 |          0 |          0 |       0 |    0 |    0 |      0 |      0 |          0 |
|     FIFO_5_empty_negate                                  |                                  network_FIFO_5_empty_negate_0 |          0 |          0 |       0 |    0 |    0 |      0 |      0 |          0 |
|     FIFO_5_full_negate                                   |                                   network_FIFO_5_full_negate_0 |          0 |          0 |       0 |    0 |    0 |      0 |      0 |          0 |
|     FIFO_6_empty_negate                                  |                                  network_FIFO_6_empty_negate_0 |          0 |          0 |       0 |    0 |    0 |      0 |      0 |          0 |
|     FIFO_6_full_negate                                   |                                   network_FIFO_6_full_negate_0 |          0 |          0 |       0 |    0 |    0 |      0 |      0 |          0 |
|     FIFO_7_empty_negate                                  |                                  network_FIFO_7_empty_negate_0 |          0 |          0 |       0 |    0 |    0 |      0 |      0 |          0 |
|     FIFO_7_full_negate                                   |                                   network_FIFO_7_full_negate_0 |          0 |          0 |       0 |    0 |    0 |      0 |      0 |          0 |
|     FIFO_8_empty_negate                                  |                                  network_FIFO_8_empty_negate_0 |          0 |          0 |       0 |    0 |    0 |      0 |      0 |          0 |
|     FIFO_8_full_negate                                   |                                   network_FIFO_8_full_negate_0 |          0 |          0 |       0 |    0 |    0 |      0 |      0 |          0 |
|     FIFO_9_empty_negate                                  |                                  network_FIFO_9_empty_negate_0 |          0 |          0 |       0 |    0 |    0 |      0 |      0 |          0 |
