+---------------------------------+--------------------------------------+------------+------------+---------+------+-----+--------+--------+------------+
|             Instance            |                Module                | Total LUTs | Logic LUTs | LUTRAMs | SRLs | FFs | RAMB36 | RAMB18 | DSP Blocks |
+---------------------------------+--------------------------------------+------------+------------+---------+------+-----+--------+--------+------------+
| test_FPE_inst                   |                                (top) |         92 |         92 |       0 |    0 | 351 |      0 |      0 |          1 |
|   (test_FPE_inst)               |                                (top) |          0 |          0 |       0 |    0 |   0 |      0 |      0 |          0 |
|   test_FPE_inst                 |                             test_FPE |         92 |         92 |       0 |    0 | 351 |      0 |      0 |          1 |
|     ALU                         |                         test_FPE_ALU |          0 |          0 |       0 |    0 |   0 |      0 |      0 |          1 |
|       core                      |                    test_FPE_ALU_core |          0 |          0 |       0 |    0 |   0 |      0 |      0 |          1 |
|     GET                         |                         test_FPE_GET |          0 |          0 |       0 |    0 |  16 |      0 |      0 |          0 |
|       read_0_buffer             |                 register_no_force_29 |          0 |          0 |       0 |    0 |  16 |      0 |      0 |          0 |
|     ID                          |                          test_FPE_ID |          7 |          7 |       0 |    0 |  27 |      0 |      0 |          0 |
|       (ID)                      |                          test_FPE_ID |          2 |          2 |       0 |    0 |   0 |      0 |      0 |          0 |
|       ALU_core_ALU_mode_buffer  |    register_no_force__parameterized2 |          0 |          0 |       0 |    0 |   4 |      0 |      0 |          0 |
|       ALU_core_op_mode_buffer   |    register_no_force__parameterized3 |          0 |          0 |       0 |    0 |   2 |      0 |      0 |          0 |
|       GET_read_0_adv_buffer     | register_no_force__parameterized0_22 |          0 |          0 |       0 |    0 |   1 |      0 |      0 |          0 |
|       PUT_write_0_enable_buffer | register_no_force__parameterized0_23 |          0 |          0 |       0 |    0 |   1 |      0 |      0 |          0 |
|       REG_write_0_enable_buffer | register_no_force__parameterized0_24 |          0 |          0 |       0 |    0 |   1 |      0 |      0 |          0 |
|       exe_instr_delay           |         delay_10w_1d_noenable_noinit |          1 |          1 |       0 |    0 |   7 |      0 |      0 |          0 |
|         delay_reg               | register_no_force__parameterized1_28 |          1 |          1 |       0 |    0 |   7 |      0 |      0 |          0 |
|       fetch_instr_delay         |      delay_10w_1d_noenable_noinit_25 |          3 |          3 |       0 |    0 |   7 |      0 |      0 |          0 |
|         delay_reg               | register_no_force__parameterized1_27 |          3 |          3 |       0 |    0 |   7 |      0 |      0 |          0 |
|       store_instr_delay         |      delay_10w_1d_noenable_noinit_26 |          1 |          1 |       0 |    0 |   4 |      0 |      0 |          0 |
|         delay_reg               |    register_no_force__parameterized1 |          1 |          1 |       0 |    0 |   4 |      0 |      0 |          0 |
|     PC                          |                          test_FPE_PC |         10 |         10 |       0 |    0 |   7 |      0 |      0 |          0 |
|       running_FF                |                          RS_flipflop |          1 |          1 |       0 |    0 |   1 |      0 |      0 |          0 |
|       value_reg                 |    register_inited_enable_sync_force |          9 |          9 |       0 |    0 |   6 |      0 |      0 |          0 |
|     PM                          |                          test_FPE_PM |          1 |          1 |       0 |    0 |   8 |      0 |      0 |          0 |
|       dist_ROM                  |               dist_ROM_64d_1r_SA_MIF |          1 |          1 |       0 |    0 |   8 |      0 |      0 |          0 |
|     PUT                         |                         test_FPE_PUT |          0 |          0 |       0 |    0 |  17 |      0 |      0 |          0 |
|       FIFO_0_data_buffer        |                 register_no_force_21 |          0 |          0 |       0 |    0 |  16 |      0 |      0 |          0 |
|       FIFO_0_write_buffer       |    register_no_force__parameterized0 |          0 |          0 |       0 |    0 |   1 |      0 |      0 |          0 |
|     REG                         |                         test_FPE_REG |         72 |         72 |       0 |    0 | 272 |      0 |      0 |          0 |
|       (REG)                     |                         test_FPE_REG |          8 |          8 |       0 |    0 |   0 |      0 |      0 |          0 |
|       read_0_buffer             |                    register_no_force |          0 |          0 |       0 |    0 |  16 |      0 |      0 |          0 |
|       reg_0                     |             register_enable_no_force |          0 |          0 |       0 |    0 |  16 |      0 |      0 |          0 |
|       reg_1                     |           register_enable_no_force_6 |          0 |          0 |       0 |    0 |  16 |      0 |      0 |          0 |
|       reg_10                    |           register_enable_no_force_7 |          0 |          0 |       0 |    0 |  16 |      0 |      0 |          0 |
|       reg_11                    |           register_enable_no_force_8 |         16 |         16 |       0 |    0 |  16 |      0 |      0 |          0 |
|       reg_12                    |           register_enable_no_force_9 |          0 |          0 |       0 |    0 |  16 |      0 |      0 |          0 |
|       reg_13                    |          register_enable_no_force_10 |          0 |          0 |       0 |    0 |  16 |      0 |      0 |          0 |
|       reg_14                    |          register_enable_no_force_11 |          0 |          0 |       0 |    0 |  16 |      0 |      0 |          0 |
|       reg_15                    |          register_enable_no_force_12 |         16 |         16 |       0 |    0 |  16 |      0 |      0 |          0 |
|       reg_2                     |          register_enable_no_force_13 |          0 |          0 |       0 |    0 |  16 |      0 |      0 |          0 |
|       reg_3                     |          register_enable_no_force_14 |         16 |         16 |       0 |    0 |  16 |      0 |      0 |          0 |
|       reg_4                     |          register_enable_no_force_15 |          0 |          0 |       0 |    0 |  16 |      0 |      0 |          0 |
|       reg_5                     |          register_enable_no_force_16 |          0 |          0 |       0 |    0 |  16 |      0 |      0 |          0 |
|       reg_6                     |          register_enable_no_force_17 |          0 |          0 |       0 |    0 |  16 |      0 |      0 |          0 |
|       reg_7                     |          register_enable_no_force_18 |         16 |         16 |       0 |    0 |  16 |      0 |      0 |          0 |
|       reg_8                     |          register_enable_no_force_19 |          0 |          0 |       0 |    0 |  16 |      0 |      0 |          0 |
