+---------------------------------+--------------------------------------+------------+------------+---------+------+-----+--------+--------+------------+
|             Instance            |                Module                | Total LUTs | Logic LUTs | LUTRAMs | SRLs | FFs | RAMB36 | RAMB18 | DSP Blocks |
+---------------------------------+--------------------------------------+------------+------------+---------+------+-----+--------+--------+------------+
| test_FPE_inst                   |                                (top) |         31 |         19 |      12 |    0 |  97 |      0 |      0 |          1 |
|   (test_FPE_inst)               |                                (top) |          0 |          0 |       0 |    0 |   0 |      0 |      0 |          0 |
|   test_FPE_inst                 |                             test_FPE |         31 |         19 |      12 |    0 |  97 |      0 |      0 |          1 |
|     ALU                         |                         test_FPE_ALU |          0 |          0 |       0 |    0 |   0 |      0 |      0 |          1 |
|       core                      |                    test_FPE_ALU_core |          0 |          0 |       0 |    0 |   0 |      0 |      0 |          1 |
|     GET                         |                         test_FPE_GET |          0 |          0 |       0 |    0 |  16 |      0 |      0 |          0 |
|       read_0_buffer             |                 register_no_force_14 |          0 |          0 |       0 |    0 |  16 |      0 |      0 |          0 |
|     ID                          |                          test_FPE_ID |          7 |          7 |       0 |    0 |  29 |      0 |      0 |          0 |
|       (ID)                      |                          test_FPE_ID |          4 |          4 |       0 |    0 |   0 |      0 |      0 |          0 |
|       ALU_core_ALU_mode_buffer  |    register_no_force__parameterized2 |          0 |          0 |       0 |    0 |   4 |      0 |      0 |          0 |
|       ALU_core_op_mode_buffer   |    register_no_force__parameterized3 |          0 |          0 |       0 |    0 |   2 |      0 |      0 |          0 |
|       GET_read_0_adv_buffer     |  register_no_force__parameterized0_7 |          0 |          0 |       0 |    0 |   1 |      0 |      0 |          0 |
|       PUT_write_0_enable_buffer |  register_no_force__parameterized0_8 |          0 |          0 |       0 |    0 |   1 |      0 |      0 |          0 |
|       REG_write_0_enable_buffer |  register_no_force__parameterized0_9 |          0 |          0 |       0 |    0 |   1 |      0 |      0 |          0 |
|       exe_instr_delay           |         delay_10w_1d_noenable_noinit |          1 |          1 |       0 |    0 |   8 |      0 |      0 |          0 |
|         delay_reg               | register_no_force__parameterized1_13 |          1 |          1 |       0 |    0 |   8 |      0 |      0 |          0 |
|       fetch_instr_delay         |      delay_10w_1d_noenable_noinit_10 |          2 |          2 |       0 |    0 |   8 |      0 |      0 |          0 |
|         delay_reg               | register_no_force__parameterized1_12 |          2 |          2 |       0 |    0 |   8 |      0 |      0 |          0 |
|       store_instr_delay         |      delay_10w_1d_noenable_noinit_11 |          0 |          0 |       0 |    0 |   4 |      0 |      0 |          0 |
|         delay_reg               |    register_no_force__parameterized1 |          0 |          0 |       0 |    0 |   4 |      0 |      0 |          0 |
|     PC                          |                          test_FPE_PC |         10 |         10 |       0 |    0 |   7 |      0 |      0 |          0 |
|       running_FF                |                          RS_flipflop |          1 |          1 |       0 |    0 |   1 |      0 |      0 |          0 |
|       value_reg                 |    register_inited_enable_sync_force |          9 |          9 |       0 |    0 |   6 |      0 |      0 |          0 |
|     PM                          |                          test_FPE_PM |          0 |          0 |       0 |    0 |   8 |      0 |      0 |          0 |
|       dist_ROM                  |               dist_ROM_64d_1r_SA_MIF |          0 |          0 |       0 |    0 |   8 |      0 |      0 |          0 |
|     PUT                         |                         test_FPE_PUT |          0 |          0 |       0 |    0 |  17 |      0 |      0 |          0 |
|       FIFO_0_data_buffer        |                  register_no_force_6 |          0 |          0 |       0 |    0 |  16 |      0 |      0 |          0 |
|       FIFO_0_write_buffer       |    register_no_force__parameterized0 |          0 |          0 |       0 |    0 |   1 |      0 |      0 |          0 |
|     REG                         |                         test_FPE_REG |         12 |          0 |      12 |    0 |  16 |      0 |      0 |          0 |
|       RAM_core                  |          dist_RAM_16d_SIMPLE_DUAL_AA |         12 |          0 |      12 |    0 |   0 |      0 |      0 |          0 |
|       read_0_buffer             |                    register_no_force |          0 |          0 |       0 |    0 |  16 |      0 |      0 |          0 |
|     running_delay_0             |            delay_1w_1d_noenable_init |          0 |          0 |       0 |    0 |   1 |      0 |      0 |          0 |
|       delay_reg                 |           register_inited_no_force_5 |          0 |          0 |       0 |    0 |   1 |      0 |      0 |          0 |
|     running_delay_1             |          delay_1w_1d_noenable_init_0 |          1 |          1 |       0 |    0 |   1 |      0 |      0 |          0 |
|       delay_reg                 |           register_inited_no_force_4 |          1 |          1 |       0 |    0 |   1 |      0 |      0 |          0 |
|     running_delay_2             |          delay_1w_1d_noenable_init_1 |          0 |          0 |       0 |    0 |   1 |      0 |      0 |          0 |
|       delay_reg                 |           register_inited_no_force_3 |          0 |          0 |       0 |    0 |   1 |      0 |      0 |          0 |
|     running_delay_3             |          delay_1w_1d_noenable_init_2 |          1 |          1 |       0 |    0 |   1 |      0 |      0 |          0 |
|       delay_reg                 |             register_inited_no_force |          1 |          1 |       0 |    0 |   1 |      0 |      0 |          0 |
